package	version	license_file	source_url
pyyaml	6.0.3	packages/pyyaml/LICENSE	https://pyyaml.org/
pytest	9.1.1	packages/pytest/LICENSE	https://docs.pytest.org/en/latest/
pytest-cov	7.1.0	packages/pytest-cov/LICENSE	https://pypi.org/project/pytest-cov/
build	1.6.0	packages/build/LICENSE	https://build.pypa.io
mypy	2.3.1	packages/mypy/LICENSE	https://www.mypy-lang.org/
ruff	0.16.6	packages/ruff/LICENSE	https://docs.astral.sh/ruff
twine	7.0.0	packages/twine/LICENSE	https://twine.readthedocs.io/
